Id:int,EmployeeId:int,TerritoryId:int,AssignedOn:date
1,1,1,2019-01-07
2,1,9,2019-01-07
3,1,14,2019-03-18
4,1,31,2020-06-01
5,1,51,2021-09-13
6,2,1,2019-02-11
7,2,2,2019-02-11
8,2,3,2019-02-11
9,2,4,2020-01-06
10,2,5,2020-01-06
11,3,6,2019-04-15
12,3,7,2019-04-15
13,3,8,2019-04-15
14,3,9,2020-02-03
15,3,10,2021-05-10
16,4,11,2019-05-20
17,4,12,2019-05-20
18,4,13,2020-07-06
19,4,14,2020-07-06
20,4,15,2021-01-11
21,5,16,2019-06-17
22,5,17,2019-06-17
23,5,18,2020-08-10
24,5,19,2021-02-15
25,5,20,2021-02-15
26,6,21,2019-07-08
27,6,22,2019-07-08
28,6,23,2020-09-14
29,6,24,2021-03-22
30,6,25,2021-03-22
31,7,26,2019-08-12
32,7,27,2019-08-12
33,7,28,2020-10-19
34,7,29,2021-04-26
35,7,30,2021-04-26
36,8,31,2019-09-16
37,8,32,2019-09-16
38,8,33,2020-11-23
39,8,34,2021-05-31
40,8,35,2021-05-31
41,9,36,2019-10-14
42,9,37,2019-10-14
43,9,38,2020-12-07
44,9,39,2021-06-07
45,9,40,2021-06-07
46,10,41,2019-11-11
47,10,42,2019-11-11
48,10,43,2021-01-18
49,10,44,2021-07-12
50,10,45,2021-07-12
51,11,46,2019-12-09
52,11,47,2019-12-09
53,11,48,2021-02-22
54,11,49,2021-08-16
55,11,50,2021-08-16
56,12,51,2020-01-13
57,12,52,2020-01-13
58,12,53,2021-03-29
59,12,54,2021-09-20
60,12,55,2021-09-20
61,12,56,2022-01-10
62,12,57,2022-01-10
63,12,58,2022-04-04
